title,price,address,area
À La Carte Hotel,"  2,25 tỷ","Đường Dương Đình Nghệ, Phường Phước Mỹ, Sơn Trà, Đà Nẵng.",22 m2 - 50 m2 - 63 m2 - 135 m2
Ariyana Lakeside Văn Quán (Hesco Văn Quán),N/A,"Nguyễn Khuyến, Phường Văn Quán, quận Hà Đông, Hà Nội",69m2 – 73m2 – 88m2 – 89m2 – 90m2 – 95m2 -111m2
Asiana Riverside (Shizen Home),N/A,"Đường Bến Nghé, phường Tân Thuận Đông, quận 7, thành phố Hồ Chí Minh",45;90
Astral City,  295 triệu,"Mặt tiền Quốc lộ 13, TP Thuận An, Tỉnh Bình Dương",45;90
Athena Monopoly,"  3,3 - 3,7 tỷ","Phường Vinh Tân, Thành phố Vinh, Nghệ An",Không có thông tin
Chung cư Huỳnh Tấn Phát,"  1,7 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",50m2 – 90 m2
Green Center (Làng sinh thái golf),"  2,95 - 6,6 tỷ","xã Tân Mỹ, huyện Đức Hòa, tỉnh Long An.",Không có thông tin
Khu dân cư Bảo Thịnh Residence,  6 tỷ,"Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, TP.Hồ Chí Minh",250m2 - 280m2
Khu đô thị Phương Đông Vân Đồn,  2 tỷ,"Xã Đông Xá, đặc khu kinh tế Vân Đồn, Quảng Ninh",87;120;140;200;300;500
N03-T6 - Khu đô thị Ngoại Giao Đoàn,"  3,8 tỷ","Lô N03T6 Khu Ngoại Giao Đoàn, P.Xuân Tảo, Q.Bắc Từ Liêm, TP Hà Nội",Không có thông tin
Park View Apartment,  1 tỷ,"Đường Bùi Hữu Nghĩa, Phường Bình Hòa, Thuận An, Bình Dương.",43m2-52m2 -59m2 -65m2 -68m2 -83 m2
Parkview Iris Tower,N/A,"Đường Nguyễn Du Thành phố Thuận An, Tỉnh Bình Dương",Không có thông tin
The Landmark 81 - Khu đô thị Vinhomes Central Park,"  4,9 - 22 tỷ","Đường Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh","54-55-66m2
78-87-90-94m2
106-109-133-145m2
144-171-172-173-186-192-249-258-269-407-420-431m2"
The Vista An Phú,"  4,3 tỷ","628C Xa lộ Hà Nội, phường An Phú, quận 2, TP Thủ Đức, TP HCM",101m2 - 221 m2
